split,identity,source_relative_path,source_sha256,image_width,image_height,face_detected,confidence,detection_left,detection_top,detection_right,detection_bottom,crop_left,crop_top,crop_right,crop_bottom,crop_width,crop_height,crop_area_ratio,fallback_reason,crop_relative_path,crop_sha256
gallery,Aaron_Sorkin,multi_image_gallery/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,0000272fb23a9f37220554a79bc75bc65762d8f00f8367244558bc9419206b5a,250,250,True,0.999982476234436,62.70586395263672,66.06295013427734,165.7006378173828,197.72183227539062,55,56,173,207,118,151,0.285088,,gallery/Aaron_Sorkin/0fc88e73b270.png,1d9eeeff5de849fabeda58b6a0e4d4588be15012f7eb657222c08864558b5e65
gallery,Abdel_Nasser_Assidi,multi_image_gallery/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,aadfe76aeede1c170698d571c0eedaf06346835ce0e38015b2afb607d658068d,250,250,True,0.9999997615814209,82.58004760742188,69.58550262451172,171.00259399414062,183.57273864746094,76,61,177,191,101,130,0.21008,,gallery/Abdel_Nasser_Assidi/a1991c4de3c2.png,5b6da0ec44be72e70301e4f69dc060fd5346e7f1583c614b288a440755d6b7ac
gallery,Abdullah,multi_image_gallery/Abdullah/Abdullah_0001.jpg,6232c6fcfe6d8fd1eeff78e7f648bb70359ec69f19fb4e76ecc9a55d68f340f1,250,250,True,0.9999955892562866,87.24125671386719,77.27397155761719,174.32568359375,182.0245361328125,81,69,180,189,99,120,0.19008,,gallery/Abdullah/258825974511.png,b30895534ca708e22c7f8068d2a6c55208bab927b55cab511dcd4154af9a5aa7
gallery,Abdullah,multi_image_gallery/Abdullah/Abdullah_0002.jpg,9bf7a79ea3cd97111b4420b9c107983510a95033654a8a702619a8308fad3467,250,250,True,0.9992258548736572,80.69978332519531,59.24541473388672,176.78915405273438,183.7313232421875,73,50,183,192,110,142,0.24992,,gallery/Abdullah/08bbde84a428.png,cdf349cb45816c1971a2b82828d28d29d1dea591a27e8ab50b27eda5dace7315
gallery,Abdullah,multi_image_gallery/Abdullah/Abdullah_0003.jpg,77d277d61fee813f889a68339507893c951e189fe3deae7a2becf22f57174d70,250,250,True,0.9999998807907104,92.29766845703125,65.70252990722656,187.7935333251953,182.277099609375,85,57,194,190,109,133,0.231952,,gallery/Abdullah/170d9b38b4f6.png,a8aab5c4d8f387b13beb8e01370b89898de3cf67befa54dd1eca3dfc6b24e441
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0001.jpg,d591966e5eff26ac757c1d310924416568667f34ba46072f9e09fb1d58b64f0d,250,250,True,0.9999996423721313,76.58090209960938,77.05492401123047,170.6903533935547,187.04232788085938,69,69,177,194,108,125,0.216,,gallery/Abdullah_Gul/b005c68ffbd0.png,f6af1920b1f890354dbca176e25f6a485cba3e71b56499b9158da4dcfa4dd8d7
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0002.jpg,bc41e1653354441a66147c6171bacc49e5839f09d360f8433f7927c29883e6d0,250,250,True,0.9999970197677612,69.96448516845703,66.32255554199219,163.6049041748047,190.25759887695312,63,57,170,199,107,142,0.243104,,gallery/Abdullah_Gul/d86bc0784f4c.png,b2439ca4857eb6960de09a97246429e96492e5a5067260b2d5c7faa4183a88eb
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0003.jpg,684ed1b48578150a3eda3c6d2321fc8e3e8e9d66be285d09fbbae552069f6812,250,250,True,0.9999998807907104,77.09818267822266,71.1434555053711,168.11239624023438,188.41441345214844,70,62,174,196,104,134,0.222976,,gallery/Abdullah_Gul/0ceaf201e7fc.png,35b9041ff8db469a2508ab062d5367496bfbf7bf36d1d1cada51bbb9d865098d
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0004.jpg,aa9dc953eeb00d9be4e26508243f37280ef8929b32bc3fa8110ba39f43f2001c,250,250,True,0.9999998807907104,81.50898742675781,66.88822937011719,177.27359008789062,190.2149658203125,74,58,184,199,110,141,0.24816,,gallery/Abdullah_Gul/be90ef0f4709.png,f2e5bef56f0ec2a143ef7c82a0695b6519564f8ac452c02e23435b7f18955ef2
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0005.jpg,62ec12a5be27ff4b97e98826fa5c76d7eba47f99e6c974c1e938ac813899ab71,250,250,True,0.9999994039535522,69.6380844116211,67.212646484375,167.421630859375,189.49697875976562,62,58,174,198,112,140,0.25088,,gallery/Abdullah_Gul/9d58492cdfe6.png,f47ae1064b023699ad46b43ae88f1bc5ade9f5a996161aac59f9de42f907a550
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0006.jpg,5b6b11b5b29e48487f449da04c0eccabcbea26d82f2cc638817aa7a82c58d10a,250,250,True,0.999981164932251,84.53578186035156,63.53874206542969,182.0135040283203,185.72720336914062,77,54,188,194,111,140,0.24864,,gallery/Abdullah_Gul/c6f4704abef2.png,fbb9c4c6dd02814ca44046c624c17111387d09154809d30157b9d90335320ba7
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0007.jpg,4574b5d328beb30f490bea46207295d5630b786cbc60ad00e4f4658871a1c8aa,250,250,True,0.9999982118606567,75.68992614746094,69.5682373046875,171.90243530273438,190.25506591796875,68,60,178,198,110,138,0.24288,,gallery/Abdullah_Gul/1d46ad96ccac.png,4abadd9e7105e62de069edf6a885e7154b9d19a9e4cea5abbfd72090c7c6bc10
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0008.jpg,6556af8748725900908b582680eb40c45b0540f719291efcdf2c005ba04e9f64,250,250,True,0.999997615814209,84.40902709960938,70.09683990478516,174.27207946777344,188.43360900878906,77,61,180,196,103,135,0.22248,,gallery/Abdullah_Gul/e0e0441b8c95.png,e5a74ce6617f1c082c11f6a99351c9b9afe88d59545551bace5efacb7fad2d74
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0009.jpg,2c58299b32d505c332489caadbf50edc5713ec9822ce93493460641573e1e273,250,250,True,0.9993851184844971,73.41036224365234,68.41419982910156,170.1846466064453,189.95448303222656,66,59,177,198,111,139,0.246864,,gallery/Abdullah_Gul/017ab5df0c60.png,c20ae3be364b7e4d18e4d75e1bade2a8b4d76f3b75688fd9957c41a411edf6a1
gallery,Abdullah_Gul,multi_image_gallery/Abdullah_Gul/Abdullah_Gul_0010.jpg,1d3d3717e7966ece08ee7aaf82f16e8fefb375135161d1b39d6df784a21c425f,250,250,True,1.0,86.34683227539062,65.80317687988281,183.65357971191406,190.599365234375,79,56,190,199,111,143,0.253968,,gallery/Abdullah_Gul/739aa62599d3.png,de1f2c1edee04a7669db0d1d32282ff7131b1f17a57f2f8dd9c91f29fd119d48
gallery,Abdullah_al-Attiyah,multi_image_gallery/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0001.jpg,f884326a553a9ef48c35da5d49a1270d9919ca1f24ccd886ba7292b715c72182,250,250,True,0.9999450445175171,75.63865661621094,65.77928924560547,170.25599670410156,190.70184326171875,68,56,177,199,109,143,0.249392,,gallery/Abdullah_al-Attiyah/c2362e6aa453.png,c6195364657660cc5444664078869ebe848bccad7128982238bb53792566681f
gallery,Abdullah_al-Attiyah,multi_image_gallery/Abdullah_al-Attiyah/Abdullah_al-Attiyah_0002.jpg,bea530484de939f51ec404fc3975284b9375b4369ea83ae6c33b86a0a355dd0b,250,250,True,0.9998388290405273,87.11752319335938,65.56096649169922,177.7235107421875,187.1224365234375,80,56,184,195,104,139,0.231296,,gallery/Abdullah_al-Attiyah/fe3b2adfbaf5.png,85a62edc7f2f62df450f306cf96201b99217c0a21052ac91496525945e46c3cf
gallery,Abdullatif_Sener,multi_image_gallery/Abdullatif_Sener/Abdullatif_Sener_0001.jpg,3aab809d48da40b327d4104228cc770779e45a764a9a297aa21bd8a119340867,250,250,True,1.0,93.80337524414062,62.21308517456055,180.8547821044922,182.57315063476562,87,53,187,191,100,138,0.2208,,gallery/Abdullatif_Sener/1251469777e6.png,867c9b23efee823b3816948bb3248a75bac9caddb18d11b9a55903fcfbbfbde7
gallery,Abel_Pacheco,multi_image_gallery/Abel_Pacheco/Abel_Pacheco_0001.jpg,de1fb449a23465353fbdcff87b6c70ac1e51f147213a30008aae5dd12fc19a11,250,250,True,0.9999797344207764,76.02803039550781,59.45734786987305,174.5135040283203,188.7573699951172,68,50,181,197,113,147,0.265776,,gallery/Abel_Pacheco/5daaa8e4dc4c.png,a22ee47f450efad7ff530ba7f062846e924725a9e612b3b0e96eb79f27f17d74
gallery,Abel_Pacheco,multi_image_gallery/Abel_Pacheco/Abel_Pacheco_0002.jpg,ba0c1ebd01f2f1dce0719a58863b079d9e6e62058b11d0a2d4b74c8c9bcf6949,250,250,True,0.9999381303787231,78.62619018554688,60.50114440917969,181.80453491210938,190.62306213378906,71,51,189,199,118,148,0.279424,,gallery/Abel_Pacheco/5a457b51cbae.png,c34a4ec99c548077859c9c168611e8319a3d52a3b06f3f38a05efa0236a3ad6e
